id,retweet_count,favorite_count,retweets_captured
724826943858855938,1,2,1
723612465129480192,20,20,1
724451678481580039,0,0,0
726020671155933185,1,1,1
725844490490015745,32,31,1
724801871236464640,0,0,0
725519315726946305,0,0,0
725122485755195394,0,0,0
723670729665945600,57,28,1
725143115661594624,4,1,1
726396345259532288,55,50,1
725025278699945989,0,0,0
724676554089963520,1,1,1
726532292991045635,0,0,0
724782554256023552,5,2,1
726537886347096065,3,1,1
725898679819718656,0,0,0
727635983915692033,32,34,1
723313568783855616,0,0,0
725083180617875458,28,18,2
725213205224542209,0,0,0
723124816216100864,0,0,0
723289576475897857,39,41,1
723262021576204289,0,0,0
725053093944131584,0,0,0
725644176566661121,258,459,1
725187622176481280,6,3,1
724502301877108736,0,0,0
726555739834191872,0,0,0
725665397551288320,30,23,2
725512288652943360,0,0,0
724698655391764481,12,9,2
723988175820099585,333,206,3
724970534006448128,0,0,0
724840759699083268,0,0,0
726002446783275008,0,0,0
723337482603995136,16,24,1
724322350380916736,7,2,1
727636829520822272,18,25,1
723404652184657921,0,0,0
723972130233155584,0,0,0
723252851967963137,68,50,1
726524447151247360,0,0,0
724492232787668992,97,110,1
725440919604985856,0,0,0
725132965269794816,8,15,1
723621871577497600,0,0,0
724455046813904896,0,0,0
725449857327063040,6,3,1
723222838866378752,0,0,0
725725584165326850,0,0,0
726077151858970624,286,611,1
725551862468988928,4,2,1
725308853517180928,0,0,0
725483081268793344,0,0,0
723506057520156672,3,3,1
723136187297226752,3,3,1
725311447287369728,0,0,0
725956443489325056,2,1,1
725166994111098880,2,0,1
727573255184338944,44,33,1
723293661232943104,0,0,0
726102638928908288,0,0,0
723550354319638529,0,0,0
727581800948715522,126,297,1
725683807710535680,3,3,1
724438491594006529,0,0,0
723707272837341184,11,17,2
723286297003974656,127,155,2
723426578839937029,0,0,0
725560592862351360,5,10,1
724912184506105857,0,0,0
725053337750659073,0,0,0
725749975032848384,0,0,0
723407189935714304,0,0,0
726781324254654465,991,1439,1
725699864387051520,0,0,0
725137366755758082,1,0,1
725335762066104320,1,0,1
722563649152294913,9,4,1
723694733105631232,0,0,0
721792216478261248,156,277,1
723131093369516032,0,0,0
723592687501344769,0,0,0
724484079161249792,0,0,0
726569006019272706,0,0,0
725794736137748480,0,0,0
722981281873580032,6,1,1
723831989917220865,84,74,1
724571150131576833,0,0,0
726605994453815296,0,0,0
727497172627890176,80,54,1
725946822716350464,0,0,0
727606240558366720,1,0,2
725381985368051712,0,0,0
722550837160079361,0,0,0
725564358567174144,0,0,0
723310721623171073,0,0,0
726520023460663296,2,2,1
725477198866595840,0,0,0
725698239933108224,0,0,0
722514320836464640,0,0,0
725321099093921793,0,0,0
723054226398572544,1,1,1
725616541442568192,0,0,0
725133344418058240,0,0,0
651552728603361280,1,4,1
727600946818236417,0,0,0
724328747717939201,1077,992,5
725117919336648704,0,0,0
722533717940559872,54,79,1
723286614886219781,15,16,1
725345631125049344,0,0,0
725416736359604224,161,144,1
724797571642871809,18,16,1
724793166604328961,6,4,1
726155086854950912,0,0,0
725665779547410432,0,0,0
723635694208430080,4,6,1
726413295700180992,0,0,0
725176227229782016,0,0,0
709148618834493442,26373,22566,1
725646530804342784,1,1,1
726289080846290945,0,0,0
723896434873880576,1,0,1
725838015516528640,19,11,1
725154377888059392,34,91,1
725342384750370816,0,0,0
724396894789767169,0,0,0
724993137400107008,0,0,0
724652788899287040,19,17,1
725890053898129408,0,0,0
723914932169904128,2,2,1
727561001403592704,0,0,0
725911890392535041,41,42,1
724090558554234880,4,3,1
726126508255920128,0,0,0
725429804519055360,9,18,2
725730118136659969,0,0,0
723832194511200256,70,69,1
723580136591888384,0,0,0
725143198021079040,8,7,1
725217540180434944,8,3,1
724055316489469953,0,0,0
